timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761482261044,1740,POST Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-736,text,false,,2065,0,8281,12521,http://localhost/post,0,0,0
1761482262166,618,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7473,text,false,,2599,0,8281,12521,http://localhost/get,0,0,0
1761482262177,1363,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8735,text,false,,2599,0,9088,13345,http://localhost/get,0,0,0
1761482258637,4147,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5487,text,false,,2599,0,8280,12520,http://localhost/get,0,0,0
1761482263449,91,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5114,text,false,,2599,0,9087,13344,http://localhost/get,0,0,0
1761482263449,88,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7941,text,false,,2599,0,9081,13337,http://localhost/get,0,0,0
1761482261044,1740,POST Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-733,text,false,,2065,0,8280,12520,http://localhost/post,0,0,0
1761482263428,108,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7196,text,false,,2599,0,9081,13337,http://localhost/get,0,0,0
1761482258896,3887,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5865,text,false,,2599,0,8271,12511,http://localhost/get,0,0,0
1761482261032,1751,DELETE Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-92,text,false,,2065,0,8271,12511,http://localhost/delete,0,0,0
1761482261568,1215,DELETE Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-62,text,false,,2065,0,8271,12511,http://localhost/delete,0,0,0
1761482263413,120,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5095,text,false,,2599,0,9081,13336,http://localhost/get,0,0,0
1761482258875,3908,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5843,text,false,,2599,0,8271,12511,http://localhost/get,0,0,0
1761482261564,1218,DELETE Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-60,text,false,,2065,0,8268,12508,http://localhost/delete,0,0,0
1761482263450,83,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7939,text,false,,2599,0,9081,13336,http://localhost/get,0,0,0
1761482261609,1173,PATCH Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-143,text,false,,2065,0,8267,12507,http://localhost/patch,0,0,0
